Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Telephone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for promoting interoperability of EHRs,Meets criteria for birthing friendly designation,Hospital overall rating,Hospital overall rating footnote,MORT Group Measure Count,Count of Facility MORT Measures,Count of MORT Measures Better,Count of MORT Measures No Different,Count of MORT Measures Worse,MORT Group Footnote,Safety Group Measure Count,Count of Facility Safety Measures,Count of Safety Measures Better,Count of Safety Measures No Different,Count of Safety Measures Worse,Safety Group Footnote,READM Group Measure Count,Count of Facility READM Measures,Count of READM Measures Better,Count of READM Measures No Different,Count of READM Measures Worse,READM Group Footnote,Pt Exp Group Measure Count,Count of Facility Pt Exp Measures,Pt Exp Group Footnote,TE Group Measure Count,Count of Facility TE Measures,TE Group Footnote,FIPS,CBSA 2020,RUCA,FORHP/ RURAL 2022,PSF PAYMENT,POS CERTIFIED BEDS,POS TOTAL BEDS,CR ACUTE BEDS,PSF BEDS,longitude,latitude
250127,CHOCTAW HEALTH CENTER,ROUTE 7 BOX R50,PHILADELPHIA,MS,39350,NESHOBA,(601) 656-2211,Acute Care Hospitals,Government - Federal,Yes,,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5.0,11,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,5.0,12,4,,28099,Neither,7.0,Rural,IHS,40,40,20.0,20.0,-89.125241,32.796469
370100,CHOCTAW MEMORIAL HOSPITAL,1405 EAST KIRK ROAD,HUGO,OK,74743,CHOCTAW,(580) 317-9500,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,,2,,7,3,0,3,0,,8,Not Available,Not Available,Not Available,Not Available,5.0,11,5,0,5,0,,8,Not Available,5.0,12,6,,40023,Neither,7.0,Rural,MDH,34,34,34.0,32.0,-82.846372,41.502606
370172,CHOCTAW NATION HEALTH SERVICES AUTHORITY,1 CHOCTAW WAY,TALIHINA,OK,74571,LATIMER,(918) 567-7000,Acute Care Hospitals,Tribal,Yes,,Y,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,1,0,1,0,,11,1,0,1,0,,8,8,,12,3,,40077,Neither,,Rural,IHS,44,44,44.0,42.0,-95.082813,34.75519
251334,CHOCTAW REGIONAL MEDICAL CENTER,8613 MS HWY 12,ACKERMAN,MS,39735,CHOCTAW,(662) 285-4400,Critical Access Hospitals,Government - Local,Yes,Y,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5.0,11,2,0,2,0,,8,Not Available,5.0,12,2,,28019,Neither,5.0,Rural,CAH,25,25,15.0,,-89.182917,33.320079
360163,CHRIST HOSPITAL,2139 AUBURN AVENUE,CINCINNATI,OH,45219,HAMILTON,(513) 585-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,5,,7,7,1,6,0,,8,8,1,7,0,,11,11,0,11,0,,8,8,,12,11,,39061,Metro,1.0,Metro,PPS,621,621,444.0,458.0,-84.510239,39.121443
190298,CHRISTUS CENTRAL LOUISIANA SURGICAL HOSPITAL,651 NORTH BOLTON AVE,ALEXANDRIA,LA,71301,RAPIDES,(318) 449-6400,Acute Care Hospitals,Proprietary,No,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,2,0,2,0,,11,4,0,4,0,,8,8,,12,5,,22079,Metro,1.0,Metro,PPS,24,24,24.0,24.0,-92.468339,31.313838
191312,CHRISTUS COUSHATTA HEALTH CARE CENTER,1635 MARVEL STREET,COUSHATTA,LA,71019,RED RIVER,(318) 932-2000,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,2,,7,3,0,3,0,,8,1,0,1,0,,11,4,1,3,0,,8,Not Available,5.0,12,3,,22081,Neither,10.0,Rural,CAH,25,25,25.0,,-93.343762,32.021177
450032,CHRISTUS GOOD SHEPHERD MEDICAL CENTER,700 E MARSHALL AVE,LONGVIEW,TX,75601,GREGG,(903) 927-6712,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,3,,7,7,0,7,0,,8,7,2,5,0,,11,11,0,10,1,,8,8,,12,10,,48183,Metro,1.0,Metro,RRC,456,574,314.0,282.0,-94.730793,32.501388
450573,CHRISTUS JASPER MEMORIAL HOSPITAL,1275 MARVIN HANCOCK DRIVE,JASPER,TX,75951,JASPER,(409) 384-5461,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,,Not Available,16,7,2,0,2,0,,8,Not Available,Not Available,Not Available,Not Available,5.0,11,4,0,4,0,,8,Not Available,5.0,12,7,,48241,Neither,7.0,Rural,SCH,49,59,40.0,39.0,-94.009584,30.907975
450102,CHRISTUS MOTHER FRANCES HOSPITAL,800 EAST DAWSON,TYLER,TX,75701,SMITH,(903) 593-8441,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,3,,7,7,0,6,1,,8,8,1,7,0,,11,11,2,9,0,,8,8,,12,11,,48423,Metro,1.0,Metro,RRC,286,537,518.0,437.0,-95.291013,32.342415
451319,CHRISTUS MOTHER FRANCES HOSPITAL- JACKSONVILLE,2026 S JACKSON STREET,JACKSONVILLE,TX,75766,CHEROKEE,(903) 541-4500,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,Not Available,16,7,1,0,1,0,,8,1,0,1,0,,11,4,0,4,0,,8,Not Available,5.0,12,8,,48073,Micro,4.0,Rural,CAH,25,25,23.0,,-95.247956,31.938325
450236,CHRISTUS MOTHER FRANCES HOSPITAL SULPHUR SPRINGS,115 AIRPORT RD,SULPHUR SPRINGS,TX,75482,HOPKINS,(903) 885-7671,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,4,,7,5,0,5,0,,8,4,1,3,0,,11,9,1,8,0,,8,8,,12,10,,48223,Micro,4.0,Rural,SCH,70,96,56.0,51.0,-95.599408,33.156937
451381,CHRISTUS MOTHER FRANCES HOSPITAL- WINNSBORO,719 WEST COKE ROAD,WINNSBORO,TX,75494,WOOD,(903) 342-5227,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5.0,11,1,0,1,0,,8,Not Available,5.0,12,2,,48499,Neither,7.0,Rural,CAH,35,35,14.0,,-95.30725,32.945358
190201,CHRISTUS OCHSNER LAKE AREA HOSPITAL,4200 NELSON ROAD,LAKE CHARLES,LA,70605,CALCASIEU,(337) 474-6370,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,2,0,2,0,,11,5,0,5,0,,8,8,,12,8,,22019,Metro,1.0,Metro,PPS,88,88,88.0,107.0,-93.2509,30.18108
190027,CHRISTUS OCHSNER ST PATRICK HOSPITAL,524 DR MICHAEL DEBAKEY DRIVE,LAKE CHARLES,LA,70601,CALCASIEU,(337) 436-2511,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,,3,,7,7,0,7,0,,8,7,0,7,0,,11,9,2,7,0,,8,8,,12,9,,22019,Metro,1.0,Metro,MDH/RRC,230,230,100.0,92.0,-93.2273,30.215565
450272,CHRISTUS SANTA ROSA HOSPITAL-SAN MARCOS,1301 WONDER WORLD DRIVE,SAN MARCOS,TX,78666,HAYS,(512) 753-3690,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Y,2,,7,5,0,5,0,,8,2,0,2,0,,11,5,0,5,0,,8,8,,12,8,,48209,Metro,1.0,Metro,PPS,170,170,108.0,150.0,-97.945825,29.85279
450237,CHRISTUS SANTA ROSA MEDICAL CENTER,2827 BABCOCK ROAD,SAN ANTONIO,TX,78229,BEXAR,(210) 704-3342,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Y,4,,7,7,0,7,0,,8,8,2,5,1,,11,11,0,11,0,,8,8,,12,10,,48029,Metro,1.0,Metro,RRC,407,601,387.0,348.0,-98.590133,29.512818
190041,CHRISTUS SHREVEPORT-BOSSIER HEALTH SYSTEM,1453 E BERT KOUNS INDUSTRIAL LOOP,SHREVEPORT,LA,71105,CADDO,(318) 681-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,2,,7,7,0,7,0,,8,7,1,4,2,,11,11,0,11,0,,8,8,,12,9,,22017,Metro,1.0,Metro,RRC,242,242,198.0,142.0,-93.71713,32.424369
450034,CHRISTUS SOUTHEAST TEXAS- ST ELIZABETH,2830 CALDER AVENUE,BEAUMONT,TX,77702,JEFFERSON,(409) 892-7171,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,3,,7,7,0,7,0,,8,8,1,7,0,,11,9,1,7,1,,8,8,,12,11,,48245,Metro,1.0,Metro,RRC,553,666,353.0,335.0,-94.132003,30.087098
450828,CHRISTUS SPOHN HOSPITAL ALICE,2500 E MAIN STREET,ALICE,TX,78332,JIM WELLS,(361) 661-8016,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,4,,7,3,0,3,0,,8,2,0,2,0,,11,3,1,2,0,,8,8,,12,9,,48249,Micro,4.0,Rural,SCH,135,135,72.0,76.0,-98.042194,27.765062
450082,CHRISTUS SPOHN HOSPITAL BEEVILLE,1500 E HOUSTON HWY,BEEVILLE,TX,78102,BEE,(361) 354-2000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Y,Not Available,16,7,2,0,2,0,,8,2,0,2,0,,11,4,1,3,0,,8,8,,12,9,,48025,Micro,4.0,Rural,SCH,69,69,40.0,46.0,-97.731234,28.407037
450046,CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI,600 ELIZABETH STREET,CORPUS CHRISTI,TX,78404,NUECES,(361) 902-4103,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,3,,7,7,0,7,0,,8,6,2,4,0,,11,10,1,9,0,,8,8,,12,8,,48355,Metro,1.0,Metro,PPS,1040,1040,515.0,479.0,-97.394919,27.776837
450163,CHRISTUS SPOHN HOSPITAL KLEBERG,1311 GENERAL CAVAZOS BLVD,KINGSVILLE,TX,78363,KLEBERG,(361) 595-1661,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,3,,7,3,0,3,0,,8,2,1,1,0,,11,4,0,4,0,,8,8,,12,9,,48273,Micro,4.0,Rural,SCH,96,96,50.0,47.0,-97.850548,27.490237
190019,CHRISTUS ST FRANCES CABRINI HOSPITAL,3330 MASONIC DRIVE,ALEXANDRIA,LA,71301,RAPIDES,(318) 487-1122,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,1,,7,7,0,7,0,,8,7,1,6,0,,11,10,0,9,1,,8,8,,12,9,,22079,Metro,1.0,Metro,PPS,293,293,268.0,252.0,-92.462636,31.283153
450801,CHRISTUS ST MICHAEL HEALTH SYSTEM,2600 ST MICHAEL DR,TEXARKANA,TX,75503,BOWIE,(903) 614-1000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Y,4,,7,7,0,7,0,,8,8,1,7,0,,11,11,0,11,0,,8,8,,12,11,,48037,Metro,1.0,Metro,RRC,343,404,275.0,259.0,-94.075459,33.463325
320002,CHRISTUS ST VINCENT REGIONAL MEDICAL CENTER,455 ST MICHAEL'S DRIVE,SANTA FE,NM,87505,SANTA FE,(505) 913-3361,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,4,,7,6,0,6,0,,8,7,1,6,0,,11,10,5,5,0,,8,8,,12,10,,35049,Metro,1.0,Metro,SCH/RRC,248,248,189.0,157.0,-105.946053,35.659339
321308,CIBOLA GENERAL HOSPITAL,1016 E ROOSEVELT AVENUE,GRANTS,NM,87020,CIBOLA,(505) 287-5300,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Y,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5.0,11,3,0,3,0,,8,Not Available,5.0,12,5,,35006,Micro,4.0,Rural,CAH,25,25,25.0,,-107.827498,35.162157
371307,CIMARRON MEMORIAL HOSPITAL,100 SOUTH ELLIS,BOISE CITY,OK,73933,CIMARRON,(580) 544-2501,Critical Access Hospitals,Government - Local,Yes,,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5.0,11,1,0,1,0,,8,Not Available,5.0,12,1,,40025,Neither,10.0,Rural,CAH,25,25,25.0,,-102.518187,36.728838
10101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,AL,35161,TALLADEGA,(256) 761-4542,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,,Not Available,16,7,2,0,2,0,,8,2,0,1,1,,11,4,0,3,1,,8,8,,12,6,,1121,Micro,4.0,Rural,RRC,122,122,103.0,101.0,-86.09003,33.44045
171362,CITIZENS MEDICAL CENTER,100 E COLLEGE DRIVE,COLBY,KS,67701,THOMAS,(785) 462-7511,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Y,2,,7,3,0,3,0,,8,1,0,1,0,,11,6,0,6,0,,8,8,,12,6,,20193,Neither,7.0,Rural,CAH,25,25,23.0,,-101.044046,39.378889
171362,CITIZENS MEDICAL CENTER,100 E COLLEGE DRIVE,COLBY,KS,67701,THOMAS,(785) 462-7511,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Y,2,,7,3,0,3,0,,8,1,0,1,0,,11,6,0,6,0,,8,8,,12,6,,22021,Neither,2.0,Rural,MDH,40,40,40.0,38.0,-101.044046,39.378889
171362,CITIZENS MEDICAL CENTER,100 E COLLEGE DRIVE,COLBY,KS,67701,THOMAS,(785) 462-7511,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,Y,2,,7,3,0,3,0,,8,1,0,1,0,,11,6,0,6,0,,8,8,,12,6,,48469,Metro,1.0,Metro,RRC,265,265,286.0,290.0,-101.044046,39.378889
190184,CITIZENS MEDICAL CENTER,7939 U S HWY 165 SOUTH,COLUMBIA,LA,71418,CALDWELL,(318) 649-6106,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,,Not Available,16,7,1,0,1,0,,8,1,0,1,0,,11,4,0,3,1,,8,Not Available,5.0,12,6,,20193,Neither,7.0,Rural,CAH,25,25,23.0,,-92.06672,32.153925
190184,CITIZENS MEDICAL CENTER,7939 U S HWY 165 SOUTH,COLUMBIA,LA,71418,CALDWELL,(318) 649-6106,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,,Not Available,16,7,1,0,1,0,,8,1,0,1,0,,11,4,0,3,1,,8,Not Available,5.0,12,6,,22021,Neither,2.0,Rural,MDH,40,40,40.0,38.0,-92.06672,32.153925
190184,CITIZENS MEDICAL CENTER,7939 U S HWY 165 SOUTH,COLUMBIA,LA,71418,CALDWELL,(318) 649-6106,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,,Not Available,16,7,1,0,1,0,,8,1,0,1,0,,11,4,0,3,1,,8,Not Available,5.0,12,6,,48469,Metro,1.0,Metro,RRC,265,265,286.0,290.0,-92.06672,32.153925
450023,CITIZENS MEDICAL CENTER,2701 HOSPITAL DRIVE,VICTORIA,TX,77901,VICTORIA,(361) 573-9181,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Y,4,,7,6,0,6,0,,8,6,1,5,0,,11,9,0,9,0,,8,8,,12,11,,20193,Neither,7.0,Rural,CAH,25,25,23.0,,-96.977748,28.812624
450023,CITIZENS MEDICAL CENTER,2701 HOSPITAL DRIVE,VICTORIA,TX,77901,VICTORIA,(361) 573-9181,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Y,4,,7,6,0,6,0,,8,6,1,5,0,,11,9,0,9,0,,8,8,,12,11,,22021,Neither,2.0,Rural,MDH,40,40,40.0,38.0,-96.977748,28.812624
450023,CITIZENS MEDICAL CENTER,2701 HOSPITAL DRIVE,VICTORIA,TX,77901,VICTORIA,(361) 573-9181,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Y,4,,7,6,0,6,0,,8,6,1,5,0,,11,9,0,9,0,,8,8,,12,11,,48469,Metro,1.0,Metro,RRC,265,265,286.0,290.0,-96.977748,28.812624
260195,CITIZENS MEMORIAL HOSPITAL,1500 N OAKLAND,BOLIVAR,MO,65613,POLK,(417) 326-6000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,Y,4,,7,4,0,4,0,,8,5,0,5,0,,11,8,0,8,0,,8,8,,12,11,,29167,Metro,7.0,Rural,SCH,74,74,52.0,49.0,-93.419775,37.625999
490112,CJW MEDICAL CENTER,7101 JAHNKE ROAD,RICHMOND,VA,23235,CHESTERFIELD,(804) 320-3911,Acute Care Hospitals,Proprietary,Yes,Y,,4,,7,7,2,5,0,,8,8,4,4,0,,11,11,0,10,1,,8,8,,12,11,,51041,Metro,1.0,Metro,PPS,758,758,612.0,591.0,-77.526357,37.513495
251320,CLAIBORNE COUNTY HOSPITAL,123 MCCOMB AVENUE,PORT GIBSON,MS,39150,CLAIBORNE,(601) 437-5141,Critical Access Hospitals,Government - Local,Yes,Y,,Not Available,16,7,2,0,2,0,,8,Not Available,Not Available,Not Available,Not Available,5.0,11,3,0,3,0,,8,Not Available,5.0,12,1,,28021,Neither,5.0,Rural,CAH,35,35,22.0,,-90.98473,31.946407
440057,CLAIBORNE MEDICAL CENTER,1850 OLD KNOXVILLE HIGHWAY,TAZEWELL,TN,37879,CLAIBORNE,(423) 626-4211,Acute Care Hospitals,Government - Local,Yes,Y,,Not Available,16,7,1,0,1,0,,8,2,0,2,0,,11,4,1,3,0,,8,8,,12,8,,47025,Neither,7.0,Rural,PPS,85,85,26.0,31.0,-82.92147,36.176853
190114,CLAIBORNE MEMORIAL MEDICAL CENTER,620 EAST COLLEGE STREET,HOMER,LA,71040,CLAIBORNE,(318) 927-2024,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,,Not Available,16,7,2,0,2,0,,8,2,0,2,0,,11,4,0,4,0,,8,8,,12,6,,22027,Neither,7.0,Rural,MDH,47,47,37.0,34.0,-88.61783,41.643603
171333,CLARA BARTON HOSPITAL,250 W 9TH STREET,HOISINGTON,KS,67544,BARTON,(620) 653-2114,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,Not Available,16,7,2,0,2,0,,8,1,0,1,0,,11,3,0,3,0,,8,8,,12,3,,20009,Micro,7.0,Rural,CAH,25,25,18.0,,-98.778475,38.522385
310009,CLARA MAASS MEDICAL CENTER,ONE CLARA MAASS DRIVE,BELLEVILLE,NJ,7109,ESSEX,(973) 450-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,1,,7,6,0,6,0,,8,8,1,6,1,,11,8,0,6,2,,8,8,,12,9,,34013,Metro,1.0,Metro,PPS,472,472,259.0,280.0,-96.999246,39.71614
370173,CLAREMORE INDIAN HOSPITAL,101 SOUTH MOORE AVE,CLAREMORE,OK,74017,ROGERS,(918) 341-8430,Acute Care Hospitals,Government - Federal,Yes,,Y,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5.0,11,1,0,1,0,,8,8,,12,4,,40131,Metro,4.0,Rural,IHS,60,60,46.0,45.0,-95.629122,36.316539
161352,CLARINDA REGIONAL HEALTH CENTER,220 ESSIE DAVISON DRIVE,CLARINDA,IA,51632,PAGE,(712) 542-2176,Critical Access Hospitals,Government - Local,Yes,,,4,,7,3,0,3,0,,8,1,0,1,0,,11,7,1,6,0,,8,Not Available,5.0,12,6,,19145,Neither,7.0,Rural,CAH,25,25,25.0,,-95.042171,40.723535
390093,CLARION HOSPITAL,ONE HOSPITAL DRIVE,CLARION,PA,16214,CLARION,(814) 226-9500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,,Not Available,16,7,2,0,2,0,,8,2,0,2,0,,11,7,1,6,0,,8,8,,12,9,,42031,Neither,10.0,Rural,SCH/RRC,60,67,59.0,50.0,-79.360502,41.20355
271323,CLARK FORK VALLEY HOSPITAL,10 KRUGER RD,PLAINS,MT,59859,SANDERS,(406) 826-4800,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,1,0,1,0,,11,2,0,2,0,,8,Not Available,5.0,12,4,,30089,Neither,10.0,Rural,CAH,16,16,16.0,,-114.888782,47.468113
180092,CLARK REGIONAL MEDICAL CENTER,175 HOSPITAL DRIVE,WINCHESTER,KY,40391,CLARK,(859) 737-8559,Acute Care Hospitals,Proprietary,Yes,Y,Y,3,,7,5,0,5,0,,8,4,0,3,1,,11,8,0,8,0,,8,8,,12,10,,21049,Metro,4.0,Rural,PPS,69,69,54.0,50.0,-84.216562,38.012009
161348,CLARKE COUNTY HOSPITAL,800 S FILLMORE ST,OSCEOLA,IA,50213,CLARKE,(641) 342-2184,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Y,,Not Available,16,7,2,0,2,0,,8,Not Available,Not Available,Not Available,Not Available,5.0,11,5,0,5,0,,8,Not Available,5.0,12,5,,19039,Neither,7.0,Rural,CAH,25,25,25.0,,-93.768253,41.026046
330211,CLAXTON-HEPBURN MEDICAL CENTER,214 KING STREET,OGDENSBURG,NY,13669,ST. LAWRENCE,(315) 393-3600,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,Y,4,,7,3,0,3,0,,8,4,0,4,0,,11,8,0,8,0,,8,8,,12,9,,36089,Micro,4.0,Rural,SCH,130,130,38.0,35.0,-75.498833,44.691231
10073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,ASHLAND,AL,36251,CLAY,(256) 354-2131,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,,Not Available,16,7,1,0,1,0,,8,2,0,2,0,,11,3,0,3,0,,8,Not Available,5.0,12,7,,1027,Neither,2.0,Rural,MDH,53,53,46.0,45.0,-85.872376,33.222279
10073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,ASHLAND,AL,36251,CLAY,(256) 354-2131,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,,Not Available,16,7,1,0,1,0,,8,2,0,2,0,,11,3,0,3,0,,8,Not Available,5.0,12,7,,17025,Neither,7.0,Rural,CAH,18,18,20.0,,-85.872376,33.222279
141351,CLAY COUNTY HOSPITAL,911 STACY BURK DR,FLORA,IL,62839,CLAY,(618) 662-2131,Critical Access Hospitals,Government - Local,Yes,Y,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5.0,11,5,0,5,0,,8,Not Available,5.0,12,4,,1027,Neither,2.0,Rural,MDH,53,53,46.0,45.0,-88.501238,38.665702
141351,CLAY COUNTY HOSPITAL,911 STACY BURK DR,FLORA,IL,62839,CLAY,(618) 662-2131,Critical Access Hospitals,Government - Local,Yes,Y,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5.0,11,5,0,5,0,,8,Not Available,5.0,12,4,,17025,Neither,7.0,Rural,CAH,18,18,20.0,,-88.501238,38.665702
171371,CLAY COUNTY MEDICAL CENTER,617 LIBERTY,CLAY CENTER,KS,67432,CLAY,(785) 632-2144,Critical Access Hospitals,Government - Local,Yes,Y,,4,,7,3,0,3,0,,8,Not Available,Not Available,Not Available,Not Available,5.0,11,6,0,6,0,,8,8,,12,6,,20027,Neither,7.0,Rural,CAH,25,25,20.0,,-97.123625,39.391879
451362,CLAY COUNTY MEMORIAL HOSPITAL,310 W SOUTH STREET,HENRIETTA,TX,76365,CLAY,(940) 538-5621,Critical Access Hospitals,Government - Local,Yes,,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5.0,11,1,0,1,0,,8,Not Available,5.0,12,Not Available,5.0,48077,Metro,2.0,Rural,CAH,25,25,23.0,,-98.198458,33.81435
131320,CLEARWATER VALLEY HOSPITAL & CLINICS,301 CEDAR STREET,OROFINO,ID,83544,CLEARWATER,(208) 476-4555,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,Not Available,16,7,2,0,2,0,,8,Not Available,Not Available,Not Available,Not Available,5.0,11,4,0,4,0,,8,Not Available,5.0,12,4,,16035,Neither,7.0,Rural,CAH,23,23,23.0,,-116.259777,46.487015
371320,CLEVELAND AREA HOSPITAL,1401 WEST PAWNEE,CLEVELAND,OK,74020,PAWNEE,(918) 358-2501,Critical Access Hospitals,Government - Local,Yes,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5.0,11,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,5.0,12,6,,40117,Metro,2.0,Rural,CAH,14,14,14.0,,-96.482096,36.309141
360180,CLEVELAND CLINIC,9500 EUCLID AVENUE,CLEVELAND,OH,44195,CUYAHOGA,(216) 952-9829,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,5,,7,7,3,4,0,,8,8,2,5,1,,11,11,2,7,2,,8,8,,12,11,,39035,Metro,1.0,Metro,RRC,1267,1267,1326.0,1286.0,-81.619844,41.502776
360364,CLEVELAND CLINIC AVON HOSPITAL,33300 CLEVELAND CLINIC BLVD,AVON,OH,44011,LORAIN,(440) 695-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,,5,,7,5,1,4,0,,8,7,2,5,0,,11,7,0,7,0,,8,8,,12,10,,39093,Metro,1.0,Metro,PPS,126,126,126.0,107.0,-80.367863,26.082425
100289,CLEVELAND CLINIC HOSPITAL,3100 WESTON RD,WESTON,FL,33331,BROWARD,(954) 689-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,,3,,7,7,1,6,0,,8,8,2,6,0,,11,11,0,9,2,,8,8,,12,8,,12011,Metro,1.0,Metro,RRC,236,236,258.0,205.0,-80.364492,26.081582
100105,CLEVELAND CLINIC INDIAN RIVER HOSPITAL,1000 36TH ST,VERO BEACH,FL,32960,INDIAN RIVER,(772) 567-4311,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,4,,7,7,0,7,0,,8,7,2,5,0,,11,11,2,9,0,,8,8,,12,9,,12061,Metro,1.0,Metro,RRC,332,332,310.0,304.0,-80.393883,27.658601
100044,CLEVELAND CLINIC MARTIN NORTH HOSPITAL,200 SE HOSPITAL AVE,STUART,FL,34994,MARTIN,(772) 287-5200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,2,,7,7,1,5,1,,8,8,1,6,1,,11,11,0,11,0,,8,8,,12,10,,12085,Metro,1.0,Metro,PPS,521,521,521.0,488.0,-80.243105,27.199921
670115,CLEVELAND EMERGENCY HOSPITAL,1017 S TRAVIS AVE,CLEVELAND,TX,77327,LIBERTY,(281) 592-5400,Acute Care Hospitals,Proprietary,Yes,,,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,19.0,Not Available,Not Available,19.0,Not Available,Not Available,19.0,48291,Metro,2.0,Rural,PPS,16,16,16.0,11.0,-95.093939,30.32827
331307,CLIFTON FINE HOSPITAL,1014 OSWEGATCHIE TRAIL,STAR LAKE,NY,13690,ST. LAWRENCE,(315) 848-3351,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,Not Available,Not Available,Not Available,5.0,11,Not Available,Not Available,Not Available,Not Available,5.0,8,Not Available,5.0,12,2,,36089,Micro,10.0,Rural,CAH,20,20,20.0,,-75.056762,44.162147
